TX95 long: 32.4142 lat: 97.5322 dist: 36.0633
3R9 long: 30.3575 lat: 97.9944 dist: 36.1562
50F long: 32.5817 lat: 97.5908 dist: 36.3284
51TE long: 32.4703 lat: 97.7872 dist: 36.4397
XS66 long: 27.8039 lat: 97.7436 dist: 36.5709
8TA7 long: 32.5694 lat: 97.7531 dist: 36.6189
E70 long: 29.6025 lat: 97.9906 dist: 36.759
50TA long: 29.6878 lat: 97.9961 dist: 37.0641
GDJ long: 32.4444 lat: 97.8169 dist: 37.4556
0TX6 long: 29.5053 lat: 97.9969 dist: 37.8195
WEA long: 32.7464 lat: 97.6825 dist: 37.927
09TE long: 32.2669 lat: 97.8669 dist: 38.0714
TX15 long: 32.7514 lat: 97.6128 dist: 38.3355
TX98 long: 32.475 lat: 97.5008 dist: 38.3962
41TA long: 32.2378 lat: 97.8781 dist: 38.4682
XA86 long: 32.5669 lat: 97.8047 dist: 38.5428
37XS long: 32.0003 lat: 97.4169 dist: 38.5582
TX09 long: 29.6756 lat: 98.0128 dist: 38.9213
TE92 long: 31.5944 lat: 97.3708 dist: 39.0101
59TX long: 32.4872 lat: 97.4903 dist: 39.1152
TX16 long: 32.8025 lat: 97.6092 dist: 39.1388
TA19 long: 32.6744 lat: 97.7836 dist: 39.1654
5TS2 long: 30.4794 lat: 97.3192 dist: 39.2255
XS12 long: 30.6761 lat: 98.0175 dist: 39.3252
07R long: 27.6103 lat: 97.7519 dist: 39.6112
77TA long: 32.8739 lat: 97.6614 dist: 39.7519
XA04 long: 32.2375 lat: 97.8997 dist: 39.9878
99XS long: 32.6833 lat: 97.8056 dist: 40.1931
CRP long: 27.7704 lat: 97.5011 dist: 40.2288
04TX long: 31.7322 lat: 97.3689 dist: 40.2674
TX82 long: 31.8636 lat: 97.3808 dist: 40.308
07TE long: 27.7211 lat: 97.5128 dist: 40.314
TE45 long: 32.47 lat: 97.4653 dist: 40.3513
3T8 long: 31.6789 lat: 97.3628 dist: 40.4087
69TA long: 27.655 lat: 97.5253 dist: 40.6488
08TX long: 32.8581 lat: 97.7475 dist: 40.6501
05TX long: 32.1292 lat: 97.4042 dist: 40.8602
62TA long: 30.3183 lat: 97.3022 dist: 40.9368
CPT long: 32.3539 lat: 97.4339 dist: 41.0464
XA12 long: 30.6947 lat: 98.0328 dist: 41.0507
6TA7 long: 32.8283 lat: 97.7794 dist: 41.199
67TX long: 27.8003 lat: 97.8511 dist: 41.1992
3TS1 long: 30.0114 lat: 98.0406 dist: 41.3025
7XS1 long: 32.9933 lat: 97.6769 dist: 41.5597
70XS long: 29.9933 lat: 98.0433 dist: 41.6214
2TE2 long: 32.8306 lat: 97.5336 dist: 41.6337
61TE long: 32.9867 lat: 97.6197 dist: 41.6779
BAZ long: 29.7044 lat: 98.0422 dist: 42.0511
73TE long: 32.925 lat: 97.5583 dist: 42.1002
F78 long: 32.5728 lat: 97.8725 dist: 42.2545
F50 long: 31.9253 lat: 97.3647 dist: 42.2631
6XS7 long: 33.0453 lat: 97.6747 dist: 42.3217
XS73 long: 29.8736 lat: 97.2883 dist: 42.6962
79TE long: 28.1156 lat: 97.9308 dist: 42.7181
TS73 long: 32.775 lat: 97.4878 dist: 42.9226
31TX long: 31.5969 lat: 97.33 dist: 42.9353
NQI long: 27.5045 lat: 97.8083 dist: 43.1092
TA36 long: 29.0058 lat: 97.3117 dist: 43.4053
TE48 long: 31.045 lat: 98.0428 dist: 43.4217
PWG long: 31.485 lat: 97.3167 dist: 43.5129
XA99 long: 33.1344 lat: 97.6069 dist: 44.0116
XS92 long: 33.1458 lat: 97.7125 dist: 44.1706
5TS4 long: 33.1444 lat: 97.6017 dist: 44.2385
TS29 long: 31.2947 lat: 97.2969 dist: 44.4399
25TE long: 32.4503 lat: 97.4003 dist: 44.5075
XA85 long: 31.6419 lat: 97.3144 dist: 44.7624
4XS2 long: 33.1706 lat: 97.7317 dist: 44.8684
NGW long: 27.7003 lat: 97.4344 dist: 44.8815
14XS long: 30.8086 lat: 97.2739 dist: 44.9302
TA87 long: 33.1075 lat: 97.5481 dist: 44.9767
TX46 long: 32.4097 lat: 97.3872 dist: 45.0554
TX37 long: 33.1317 lat: 97.7686 dist: 45.2144
NFW long: 32.7692 lat: 97.4417 dist: 45.4002
TS57 long: 33.2417 lat: 97.6211 dist: 45.4026
4T2 long: 32.9772 lat: 97.4883 dist: 45.5339
54X long: 31.5753 lat: 97.3011 dist: 45.6346
78TE long: 32.0206 lat: 97.3311 dist: 46.0684
XA07 long: 33.275 lat: 97.7167 dist: 46.1447
LUD long: 33.2542 lat: 97.5806 dist: 46.2226
77TS long: 29.7994 lat: 98.085 dist: 46.5366
3TA7 long: 33.1436 lat: 97.8044 dist: 46.6046
12TX long: 30.8214 lat: 98.0806 dist: 46.6446
2TE6 long: 28.8878 lat: 98.0503 dist: 46.7199
2TX2 long: 32.0267 lat: 98.01 dist: 46.9178
8TS5 long: 32.4681 lat: 97.3683 dist: 47.1105
XS71 long: 28.7481 lat: 98.045 dist: 47.1361
TE76 long: 33.3683 lat: 97.6822 dist: 47.1543
6TS1 long: 31.1781 lat: 98.0731 dist: 47.2581
58TX long: 32.6511 lat: 97.9336 dist: 47.2613
RFG long: 28.2936 lat: 97.3231 dist: 47.4114
T76 long: 33.1492 lat: 97.4961 dist: 47.4673
65TS long: 33.4022 lat: 97.6708 dist: 47.603
T71 long: 29.0836 lat: 97.2669 dist: 47.6091
TA51 long: 32.6803 lat: 97.9372 dist: 47.8619
XBP long: 33.1753 lat: 97.8283 dist: 48.0276
58T long: 33.1686 lat: 97.4842 dist: 48.2474
TX64 long: 33.2992 lat: 97.5272 dist: 48.3271
TA02 long: 33.1028 lat: 97.4642 dist: 48.339
27XA long: 32.9794 lat: 97.89 dist: 48.5295
9R5 long: 27.8878 lat: 97.3544 dist: 48.5311
0XA8 long: 30.27 lat: 98.1083 dist: 48.7504
TE47 long: 32.2092 lat: 97.3178 dist: 48.8561
T67 long: 32.9311 lat: 97.4117 dist: 49.1832
09TA long: 33.2819 lat: 97.4969 dist: 49.2186
5TE3 long: 30.2719 lat: 98.1169 dist: 49.7071
47TX long: 26.9339 lat: 97.7625 dist: 49.7463
4XS8 long: 29.9669 lat: 98.1169 dist: 49.8142
9F9 long: 32.6283 lat: 97.3536 dist: 49.8881
TA63 long: 30.8228 lat: 98.1108 dist: 49.9438
5TA2 long: 31.4547 lat: 97.2503 dist: 50.0873
7TS0 long: 33.095 lat: 97.4269 dist: 50.2495
88R long: 30.4781 lat: 98.1211 dist: 50.3467
TE86 long: 29.4444 lat: 98.1128 dist: 50.5499
TE87 long: 27.9158 lat: 97.3203 dist: 51.0255
TE16 long: 32.2506 lat: 97.2972 dist: 51.0344
76T long: 33.2664 lat: 97.4517 dist: 51.0733
XA98 long: 33.3028 lat: 97.4581 dist: 51.2283
TA78 long: 31.9725 lat: 98.0614 dist: 51.2421
FTW long: 32.8197 lat: 97.3625 dist: 51.2482
TE34 long: 32.7625 lat: 97.9728 dist: 51.41
TX67 long: 32.3606 lat: 97.3025 dist: 51.5174
XA34 long: 33.2417 lat: 97.4281 dist: 52.0018
2TX7 long: 33.0944 lat: 97.3961 dist: 52.0938
75TE long: 31.7475 lat: 97.2461 dist: 52.1901
65XS long: 32.2233 lat: 97.2817 dist: 52.2032
0F2 long: 33.6017 lat: 97.7756 dist: 52.2415
2TS3 long: 31.6794 lat: 97.2406 dist: 52.33
5TE2 long: 30.2253 lat: 98.1419 dist: 52.475
TE67 long: 29.4292 lat: 98.1317 dist: 52.653
9TA1 long: 29.6586 lat: 98.1378 dist: 52.6577
1TX6 long: 31.6986 lat: 98.0964 dist: 52.6677
FWS long: 32.5653 lat: 97.3081 dist: 52.9074
TX72 long: 30.3792 lat: 97.1947 dist: 52.9177
ACT long: 31.6114 lat: 97.2306 dist: 52.955
TX74 long: 32.2614 lat: 97.2753 dist: 53.0942
3TX4 long: 33.0944 lat: 97.3803 dist: 53.1044
0XS6 long: 30.5011 lat: 98.1469 dist: 53.2359
TX34 long: 32.8481 lat: 97.9844 dist: 53.2552
TE99 long: 32.0214 lat: 97.2536 dist: 53.2849
XA16 long: 33.4942 lat: 97.4656 dist: 53.3915
12TS long: 32.9083 lat: 97.9772 dist: 53.4164
TE95 long: 30.7533 lat: 98.1467 dist: 53.6912
3TX7 long: 33.1408 lat: 97.3711 dist: 54.2423
